ID,大ジャンル,問題文,正解,別解
q0001,理系,アルファベットの小文字の「i」で表される、2乗するとマイナス1になる数のことを何というでしょう？,虚数（きょすう）,虚数単位
q0002,理系,統計学で、データの分布が平均値を中心に左右対称の釣鐘型になる分布を何というでしょう？,正規分布（せいきぶんぷ）,ガウス分布
q0003,理系,パソコンで、コピーしたデータを一時保存する領域を、ある文房具の英語名から何というでしょう？,クリップボード,
q0004,理系,ウェブサイトのURLの先頭にある「http」とは、何という英語の略でしょう？,Hyper Text Transfer Protocol（ハイパーテキストトランスファープロトコル）,
q0005,理系,磁界の中で電流に働く力の向きを示した法則を、発見したイギリスの物理学者の名前から「誰の左手の法則」というでしょう？,フレミング,ジョン・アンブローズ・フレミング
q0006,理系,物体が流体中を落下するとき、重力と空気抵抗などの抵抗力がつりあい、一定になった時の速度を何というでしょう？,終端速度（しゅうたんそくど）,
q0007,理系,物質が熱や光を出しながら激しく酸素と化合する化学反応を、特に何というでしょう？,燃焼（ねんしょう）,
q0008,理系,ドライアイスやナフタレンのように、物質が液体を経ずに固体から直接気体になる現象を何というでしょう？,昇華（しょうか）,
q0009,理系,アルコールの分解や胆汁の生成など多くの役割を担っている、人体の中で最も大きい内臓はどこでしょう？,肝臓（かんぞう）,
q0010,理系,血管が傷ついたときに集まって血を固め、出血を止める役割を持つ、血液中の成分の一つは何でしょう？,血小板（けっしょうばん）,
q0011,理系,1938年に南アフリカで発見された、デボン紀に出現後現在までほぼ姿を変えていないため「生きた化石」と呼ばれる魚は何でしょう？,シーラカンス,ラティメリア
q0012,理系,植物の体内の水分が、水蒸気となって気孔などから体外へ排出される現象を何というでしょう？,蒸散（じょうさん）,
q0013,理系,細胞内で、メッセンジャーRNAの情報を読み取り、タンパク質を合成する役割を持つ小器官は何でしょう？,リボソーム,
q0014,理系,マグマが冷え固まってできた岩石のことを、堆積岩や変成岩に対して何というでしょう？,火成岩（かせいがん）,
q0015,理系,英語では「モンスーン」と呼ばれる、夏と冬で吹く方向が逆になる風を何というでしょう？,季節風（きせつふう）,
q0016,理系,ルベリエとアダムスの軌道計算に基づき、1846年にガレが望遠鏡で存在を確認した太陽系第8惑星は何でしょう？,海王星（かいおうせい）,
q0017,理系,特定の金属や化合物を極低温に冷却したときに、電気抵抗がゼロになる現象を何というでしょう？,超伝導（ちょうでんどう）,超電導
q0018,理系,現代のコンピュータの祖先とも言える「階差機関」や「解析機関」を設計し、「コンピュータの父」と呼ばれるイギリスの数学者は誰でしょう？,チャールズ・バベッジ,バベッジ
q0019,理系,炭素の同素体の一つで、サッカーボールのような形をした球状の分子構造を持つものは何でしょう？,フラーレン,
q0020,理系,地震が起こった際、震源から最初に到達する縦波を、アルファベット一文字で何波と言うでしょう？,P波（ピーは）,
q0021,理系,1912年に大陸移動説を提唱した、地球の地殻変動に関する「プレートテクトニクス」の理論の先駆者は誰でしょう？,ウェゲナー,アルフレッド・ウェゲナー
q0022,理系,機械加工で、金属などの硬い材料を高速で回転させ、削り出す工作機械のことを何というでしょう？,旋盤（せんばん）,
q0023,理系,流体の速度が上がると圧力が下がるという法則を示した、スイスの物理学者は誰でしょう？,ダニエル・ベルヌーイ,ベルヌーイの法則
q0024,理系,建物を地震の揺れから守るため、構造体の基礎と土台の間に緩衝材や積層ゴムなどを挟む構造を何というでしょう？,免震構造（めんしんこうぞう）,免震
